Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
HESM,8.74,42.93,,,11.8,27,18.8,60.7,18,22.92,22.86,0.87,35.38,1.44,,0.02,,0.79,,62.42,32.47,3.26,8.57,,1.14,7.56,6.51,5.55,8.66,5.86,4.87,3.73,4.01,15.36,0.1,46.32,28.09,7.86,10.44,62.8,,10.65,16.97,85.61,4.56,,,8.86,,61.05,6,15.44,15.44,0.41,1.34,,,,,2.61,2.06,,,,1.9,20.29,0.67,0.32,6,0.79,3.26,25.91,23.66,42.65,,21.83,,8.34,15.29,,,9,7054385107.0,Integrated Oil,Energy Minerals
HGV,,58.51,,41.6,,21.3,12.5,80.5,15.7,66.04,,,60.12,1.72,,0.17,0.06,3.03,187.87,12.59,61.49,4.68,1.79,,,,13.57,9.95,40.3,8.18,5.97,1.7,2.07,7.37,0.27,5.14,4.4,,,,,22.88,69.17,39.1,3.95,,,8.18,,16.98,2.16,15,12.13,,1.2,,,,,23.43,,,,,16.06,85.62,,1.21,,2.06,3.97,35.26,8.96,15.1,,7.3,,11.26,20.85,,,9,4628567863.0,Real Estate Development,Finance
HHH,,41.94,,,,9.3,46.2,11.3,1.9,39.97,,6.57,39.14,0.41,,0.92,0.09,3.41,21.52,15.88,29.33,,1.77,,,,,,,,32.08,9.76,7.38,,0.32,,,,,11.25,,,58.25,39.26,1.06,,,,,12.86,1.32,,,,3.28,,,,,,,0.65,,,,,,1.36,1.35,3.41,,,,,,1.36,,,260.27,,,7,3850906984.0,Real Estate Development,Finance
HI,,53.8,2.2,18.1,1.2,32.4,32.7,,5.5,58.06,2.02,,54.02,1.59,,0.16,0.09,1.28,110.44,78.14,42.91,4.91,1.26,,0.38,1.91,16.72,11.59,41.24,8.23,,1.23,1.71,5.98,0.3,4.15,3.77,1.92,,15.74,,,58.68,33.79,3.61,,,18.39,,10.32,1.92,5.99,19.99,1.71,1.08,,,,,26.25,,0.85,,,17.01,5.6,1.96,1.04,,0.79,10.58,71.2,7.81,34.83,,3.35,,,17.13,,,9,3081866147.9999995,Industrial Conglomerates,Producer Manufacturing
HII,14.87,69.29,0.7,30.1,5.9,4,,,7.6,74.16,3.05,11.24,71.87,2.79,,0.14,0.16,0.95,7.02,20.51,21.26,2.06,0.65,,0.31,1.83,13.73,10.05,19.2,17.15,11.75,1.12,1.14,7.28,0.37,5.92,6.25,1.9,16.16,8.68,4.34,0.5,247.5,14.37,7.83,,,5.95,,6.5,2.65,16.02,16.74,4.65,0.95,,1.09,0.97,,16.11,3.72,1.05,,,11.25,16.71,,1.12,18.58,0.89,6.26,27.25,11.89,18.38,,5.67,,5.9,17.66,,,10,8437978803.0,Aerospace & Defense,Electronic Technology
HIMS,,65.67,,,,47.4,46.5,57.9,2.7,78.22,,16.67,70.44,15.56,,2.57,45.38,3.03,52.79,89.55,1.81,,0.01,,,,,,69.97,27.65,23.79,1.53,2.37,,0.79,3.39,1.28,,,,,,12.14,81.16,,,,,,,6.37,,,,2.49,,,,,74.07,,,16.45,12.65,44.67,,,,10.5,2.76,,,,,,,,0.01,,,,,1331553344.0,Medical/Nursing Services,Health Services
HIW,,59.56,,0.8,1.4,,,2.3,3.9,69.51,9.08,,62.78,0.6,,0.08,0.01,1.46,,,90.89,5.46,1.32,,2.1,8.39,20,9.79,14.89,21.91,10.36,6.83,6.91,5,0.41,46.4,15.35,8.39,29.41,18.87,,0.73,35.09,67.77,1.63,,,17.83,,26.73,1.05,17.16,25.03,6.26,3.12,,1.57,0.58,6.63,6.62,1.08,0.46,,,6.62,,,0.46,1.05,1.46,2.46,269.22,5.02,6.04,,3.9,,,9.28,,,10,2416801716.0,Real Estate Investment Trusts,Finance
HKD,,61.02,,13.5,,11.3,,,,80.18,,,69.12,3.97,,1.17,1.36,2.29,,,90.09,2.5,0.26,,,,16.25,15.57,48.03,,,,22.51,6.15,0.69,46.87,1.9,,,,,,0.0,,13.99,,,126.22,,50.58,1.78,19.02,28.4,,23.76,,,,,50.07,1.5,,,6.98,50.07,16.9,,,1.78,2.29,7.74,56.99,9.45,9.05,,3.54,,,,,,5,1054863934.0,Packaged Software,Technology Services
HL,,32.32,,0.7,32,,42.6,,,29.78,2.44,,30.43,1.42,,0.69,0.16,1.71,53.8,49.83,12.54,4.12,0.31,,0.43,0.7,,18.16,,16.3,9.94,3.57,3.6,,0.67,,,0.7,51.02,,,2.34,4.78,17.39,1.32,,,,,7.37,1.1,,70,,2.86,,,,,,1.85,1.01,,,19.38,,,1.33,1.1,1.04,,,,,,2.19,,,,,,3,2605172723.0,Precious Metals,Non-Energy Minerals
HLF,,44.36,10.7,,,11.3,13.7,,14.9,52.14,,,46.68,2.07,,0.43,0.18,1.16,167.65,25.52,5.9,5.25,,,,,8.46,6.64,20.25,,,,0.69,11.82,,3.43,14.42,,3.45,28.82,,,26.93,76.75,2.38,,,3.71,,7.75,,6.45,6.52,0.61,0.25,,0.53,0.61,,6.96,,0.21,,,3.86,8.87,0.99,0.32,,0.73,6.83,60.52,25.68,,,13.89,,15.13,4.52,,,10,1444394654.0,Medical Distributors,Distribution Services
HLI,21.74,64.9,,16.1,19.6,16.4,10.3,,14.9,71.71,4.24,15.24,67.1,6,,0.78,1.34,1.29,,32.52,30.28,1.11,0.24,,0.5,1.72,24.33,22.61,31.88,,15.95,3.84,4.64,4.11,0.6,14.12,2.96,1.73,22.47,21.97,,7.16,97.22,36.53,,,,14.08,,19.08,4.96,31.48,29.3,1.47,4.56,,,,,31.25,5.09,,,,24.72,71.92,1.66,1.35,19.89,1.29,9.19,79.56,16.93,15.82,,12.93,,,36.35,,,10,7596690802.0,Investment Banks/Brokers,Finance
HLIO,,51.02,,10.6,,14.1,15,4.1,16.3,59.42,0.88,,53.51,2.41,,0.26,0.07,3.01,126.9,44.56,58.14,3.59,0.65,,0.15,0.85,20.67,12.23,41.62,15.36,11.69,2.22,2.21,4.84,0.53,5.31,3.18,0.85,,19.76,,,73.48,32.19,3.21,,,6.17,,10.61,1.66,26.82,17.23,1.25,1.62,,,,,31.12,,0.43,,,16.19,28.12,1.19,0.94,,1.48,3.38,21.14,6.48,6.39,,5.36,,,22.07,,,10,1854909079.9999995,Industrial Machinery,Producer Manufacturing
HLIT,,68.37,,13.9,,207.2,,,9.9,79.92,,26.09,73.08,0.05,,0.31,0.54,1.21,136.9,60.71,68.16,4.58,0.36,,,,70.26,45,,,,2.05,2.52,1.42,0.57,,,,,,,,11.17,51.41,8.52,,,13.82,,3.78,3.52,19.3,33.33,1.34,2.63,,,,,,3.4,1.79,,,204.5,,,3.56,7.79,0.91,11.84,15.41,5.24,23.58,,16.32,,1.53,,,,3,1086694441.0,Telecommunications Equipment,Electronic Technology
HLMN,,54.22,,,,5.9,43.6,,5.7,59.73,,,54.68,1.58,,0.17,0.04,2.55,199.61,66.04,29.32,4.83,0.76,,,,43.04,14.14,17.09,,12.42,1.73,1.76,2.32,0.48,10.27,8.62,,18.32,,,2.43,9.46,43.08,0.88,,,,,4.08,1.52,,180.8,,1.16,,,,,11.26,,,,,7.58,,,,,0.85,,9.01,2.69,,,4.4,,4.24,,,,,1649908646.0,Wholesale Distributors,Distribution Services
HLN,6.92,41.28,,,,22.9,,47.2,8.6,28.22,1.26,2,37.21,2.7,,0.1,0.05,0.84,100.15,222.72,58.62,4.11,0.6,,0.14,1.28,16.79,16.79,22.6,15.3,13.64,3.29,3.27,5.96,0.48,13.92,5.63,1.13,17.79,,11.2,4.82,0.0,60.61,4.07,,,10.14,,18.7,1.78,24.41,11.15,,2.4,,,,,16.95,,,,,14.25,,,,,0.54,3.29,130.37,7.16,6.28,,4.86,,,,,,4,37771792134.93901,Medical Distributors,Distribution Services
HLNE,43.53,53.54,,27.5,13.3,,18.4,2.1,0.7,51.95,3.44,19.11,51.68,5.98,,0.76,0.59,1.19,,9.2,43.9,1.02,0.59,,0.53,1.5,17.01,16.53,44.2,,,8.04,9.15,5.88,0.39,20.7,2.27,1.54,23.98,2.62,,7.79,78.51,69.17,19.24,,,25.22,,43.12,9.56,35.66,35.66,,12.46,,,,,60.23,3.89,,,,54.35,52.6,,3.62,9.57,1.19,10.24,280.21,26.47,28.41,,17.4,,1.42,45.44,,,8,4964582246.0,Investment Managers,Finance
HLT,20.46,59.29,3,,58.7,,,42.5,35.6,41.6,0.31,17.81,53.44,2.32,,0.21,0.08,0.7,,20.61,49.28,4.39,,,0.11,0.31,27.08,25.35,34.36,19.2,18.09,7.29,5.7,3.69,,16.6,3.51,0.31,27.55,1.83,21.2,,191.96,28.63,4.88,,,11.15,,22.11,,44.38,34.7,,5.03,,,,,30.1,,1.56,,,26.3,28.55,,7.29,,0.7,7.45,224.35,18.23,,,10.28,,4.83,68.87,,,9,40380308183.0,Hotels/Resorts/Cruise lines,Consumer Services
HLX,21.95,46.26,,,,,,,4.7,51.05,,,46.56,1.81,,0.43,0.4,1.42,,47.5,71.62,1.97,0.27,,,,32.59,7.97,26.92,,,1.25,1.36,3.07,0.63,5.05,4.37,,,,,,5.06,14.69,4.53,,,1.63,,7.1,0.93,67.36,26.94,,1.16,,,,,22.99,1.06,0.83,,,13.42,,,0.88,0.93,1.42,0.84,2.79,2.52,1.33,,2.7,,0.14,,,,6,1618274705.0,Oilfield Services/Equipment,Industrial Services
HMC,28.36,65.05,1.2,13.1,2.3,3.7,13.6,59.9,5.4,57.02,3.88,,64.1,1.83,,0.62,0.51,1.45,55.96,32.14,57.95,4.46,0.73,,0.26,2.97,9.58,6.05,20.58,11.85,6.31,0.72,0.66,10.44,0.45,3.46,8.22,2.97,7.47,12.15,2,4.34,27.53,20.83,25.37,,,5.04,,5.56,0.67,8.64,8.64,,0.46,,,,,13.67,0.54,1.14,,,7.27,12.31,,0.51,0.72,1.13,3.61,12.27,6.77,7.98,,3.95,,4.61,12.77,,,10,59590471051.98613,Motor Vehicles,Consumer Durables
HMY,68.75,45.94,,12.8,,39.7,71.2,22.3,14.1,31.33,0.68,44.64,41.76,3.11,,0.42,0.46,1.26,27.16,21.72,11.04,0.82,0.18,,0.03,0.68,9.14,9.14,31.99,,,,1.4,10.94,0.61,4.41,3.32,0.89,,,,,4.61,19.77,8.03,,,9.78,,16.21,1.99,13.69,12.31,,1.41,,,,,30.2,1.07,1.75,,,7.02,16.73,,1.75,1.99,0.79,9.19,20.05,16.23,14.98,,12.52,,,,,,4,2687584659.2388,Precious Metals,Non-Energy Minerals
HNI,31.48,60.81,0.9,2.8,1.6,2.6,,,2.7,73.18,3.34,24.44,64.45,2.25,,0.06,0.05,1.14,53.59,41.9,36.4,3.81,0.88,,0.61,3.01,31.26,15.06,20.31,13.25,8.37,0.95,1.11,3.2,0.37,5.48,6.43,3.01,14.99,7.93,12,6.05,37.84,38.01,5.11,,,1.85,,4.38,2.67,45.73,20.17,4.2,0.79,,1.75,1.33,,15.36,6.12,1.03,,,9.15,16.61,,1.19,41.7,0.68,2.56,12.87,6.68,6.52,,5.51,,,19.07,,,10,1512370017.0,Home Furnishings,Consumer Durables
HOG,,66.54,1.5,18.9,,12.8,21.4,,4.3,84.91,0.57,,73.32,1.65,,0.7,0.26,2.03,80.79,38.89,141.04,6.91,2.22,,0.14,1.79,11.65,10.35,22.01,14.71,11.56,2.2,1.79,8.58,0.27,9.38,10.67,1.79,8.18,24.88,,0.23,44.04,37.83,26.11,,,12.2,,13.57,1.56,7.65,8.07,,0.87,,,,,11.22,0.74,0.68,,,7.85,9.49,0.7,0.53,1.59,1.74,6.03,30.16,10.29,23.56,,6.82,,6.55,9.08,,,10,4726670653.0,Motor Vehicles,Consumer Durables
HOLI,44.57,55.07,,5.2,,5.8,10.9,,14.7,64.12,,50.63,56.57,3.86,,1.37,10.71,3.01,75.63,114.19,145.05,0.45,0.05,,,,7.45,6.92,357.16,,,,1.21,13.42,0.68,0.34,0.17,,,,,,20.37,33.67,105.35,,,14.52,,13.72,1.33,13.6,13.18,,1.98,,,,,582.97,0.9,0.96,13.75,1.71,31.57,54.36,,1,1.37,2.78,6.88,78.84,10.66,9.93,,12.82,,,15.12,,,10,1159328553.0,Electrical Products,Producer Manufacturing
HOLX,,51.67,2.1,25.5,,,,9,4.3,46.27,,,48.99,4.21,,2.15,0.75,3.89,123.53,34.8,62,2.43,0.55,,,,24.25,16.82,20.82,14.93,14.07,4.45,4.51,4.12,0.55,21.63,4.98,,18.15,26.56,11.6,,61.27,50.92,6.65,,,12.98,,18.26,3.7,34.81,20.19,0.37,4.55,,,,,21.04,5.48,1.19,,,17.75,34.66,0.81,1.1,33.38,3.18,5.64,63.13,9.06,10.2,,9.9,,6.88,27.71,,,8,17589289997.0,Medical Specialties,Health Technology
HON,1.21,40.5,1.8,,4.7,9.5,13.5,,6.1,39.94,2.9,6.55,38.48,2.82,,0.44,0.4,1.27,93.28,103.16,76.98,2.25,1.24,,0.45,2.16,17.66,15.37,32.53,16.18,14.21,3.64,3.82,5.66,0.27,11.73,3.35,2.23,19.46,5.6,10,5.07,217.86,37.28,9.26,,,15.43,,19.32,7.82,23,20.9,10.45,3.52,,,,,30.01,,1.26,,,24.16,19.54,,2.05,,0.93,9.21,116.65,18.3,33.45,,13.1,,3.88,24.6,,,10,128171109174.99998,Aerospace & Defense,Electronic Technology
HOOD,21.03,56.84,,,,,,,59.2,75.02,,12.96,62.73,0.26,,0.4,2.42,1.31,,440.2,735.6,,0.49,,,,,,13.52,,,2.61,2.87,,0.25,21.25,3.77,,,,,,0.0,88.78,,,,,,,1.52,,,,5.71,,,,,27.43,,,,1.66,25.63,,,,1.57,1.31,,,,,,,,,,,,1,9724073680.0,Packaged Software,Technology Services
HP,,56.28,2.6,,,,,5,19.4,51.51,2.14,,56.24,3.47,,0.64,0.55,2.11,17.18,26.3,60.05,0.55,0.2,,0.49,4.93,6.62,4.07,10.38,6.84,4.31,1.45,1.42,15.11,0.62,13.68,10.3,4.41,10.46,,6.25,2.38,66.95,26.86,29.43,,,15.27,,17.99,1.36,9.08,10.02,,1.37,,,,,9.96,0.79,0.56,,,4.7,6.16,,0.88,1.41,1.89,9.86,18.7,15.4,15.72,,10.21,,11.51,36.25,,,5,4519929567.0,Contract Drilling,Industrial Services
HPE,,44.19,0.1,9.8,,27.1,37.2,,2,53.22,3.88,,45.63,0.83,,0.2,0.32,0.87,89.9,129.39,43.97,2.69,0.64,,0.22,3.17,12.19,5.85,18.37,10.39,5.33,1,1.01,8.2,0.37,5.49,7.95,3.36,8.15,12.68,7.04,2.33,16.08,35.14,15.97,,,6.95,,8.55,0.94,10.05,7.17,0.8,0.7,,,,,12.71,1.58,,,,4.57,21.2,1.34,0.71,7.82,0.66,3.59,38.05,6.9,9.92,,4.73,,7.44,12.09,,,9,21898500824.0,Computer Processing Hardware,Electronic Technology
HPK,,54.02,,27.8,,,,,324.3,63.35,0.72,,57.66,1.59,,0.52,0.13,1.01,7.98,81.51,33.34,1.56,0.79,,0.05,0.7,7.81,3.83,,5.33,2.77,2.17,2.63,12.8,0.49,,,1.13,8.31,,,,85.46,47.26,4.02,,,17.67,,42.51,1.25,9.81,7.48,,1.53,,,,,,0.65,,,,2.25,,,,1.25,0.96,7.44,15.3,17.71,15.22,,13.41,,,,,,2,2046405836.0000005,Oil & Gas Production,Energy Minerals
HPP,,38.88,3,,,7.1,,1,11,32.81,4.89,50.08,33.53,0.23,,0.1,0.02,0.55,4.28,,111.17,9.66,1.53,,,4.88,55.5,12.5,25,34.12,10.79,5.49,6.32,1.8,0.35,25.27,23.29,,,30.7,,,25.14,54.76,0.43,,,,,8.34,0.39,,,,1.11,,,0.37,4.29,4.31,,0.19,,,4.13,5.73,,0.19,0.51,0.54,,17.81,1.34,,,0.99,,,85.44,,,8,1004193123.0,Real Estate Investment Trusts,Finance
HPQ,1.69,41.7,8.8,14.1,14.2,13.2,12.5,4,10.4,43.8,7.14,,40.42,1.91,,0.13,0.29,0.73,62.67,121.58,29.33,2.46,,,0.28,3.74,10.12,8.16,12.04,8.5,6.9,0.65,0.66,9.88,,5.51,10.52,3.88,8.19,31.53,2.66,,31.64,21.48,7.76,,,6.13,,7.93,,8.64,7.62,0.38,0.53,,,,,9.59,,0.94,,,7.96,13.12,0.34,0.5,,0.45,8.92,88.09,29.51,,,16.48,,1.67,8.91,,,10,27019267442.0,Computer Processing Hardware,Electronic Technology
HQY,15.6,71.03,,15.5,,4.1,,,9.5,83.22,,7.14,75.49,4.28,,3.47,0.36,4.93,,13.28,35.46,3.64,0.47,,,,71.91,28.38,41.41,43.39,,6.46,7.51,1.39,0.64,18.14,2.58,,28.65,6.88,25,14.98,76.06,60.91,1.88,,,3,,10.84,3.44,235.53,101.93,12.58,6.95,,8.84,3.37,,38.19,,,,,30.4,109.1,17.89,2.64,,4.93,0.95,94.06,3.42,1.51,,2.46,,0.77,318.44,,,8,5910867969.0,Investment Managers,Finance
HR,,37.78,,12.1,1.1,6.3,,,,30.91,8.15,,34.05,0.38,,0.06,,0.19,,38.07,35.84,7.39,0.8,,,7.99,,15.22,38.79,110.84,13.57,8.58,8.5,,0.53,21.9,5.01,7.99,,9.39,,,26.18,63.29,0.25,,,,,4.53,0.84,,,,4.35,,,,10.22,19.89,,0.56,,,11.34,16.56,,0.8,0.87,0.19,,,,,,0.44,,,33.72,,,10,6348895287.0,Real Estate Investment Trusts,Finance
HRB,23.32,50.7,8.8,,3.7,63.8,65.7,226,18.3,53.53,3.08,30.34,51,2.94,,0.43,0.12,1.21,,31.37,1.66,2.87,,,0.31,2.6,10.78,9.35,14.59,,9,2.44,2.51,9.28,,17.18,9.15,2.73,10.01,17.57,12.5,1.85,36.89,44.86,10.18,,,16.98,,21.99,,12.93,11.94,1.14,2.04,,0.91,1.21,,13.95,,1.16,,,12.42,13.2,0.9,3.32,,1.21,20.99,152.23,41.06,,,27.74,,12.89,19.16,,,9,5826937164.0,Other Consumer Services,Consumer Services
HRI,,57.98,,19.7,,17.4,77.8,,9.7,59.41,1.7,5.97,57.97,1.35,,0.13,0.02,1.36,,57.94,60.72,3.21,3.74,,0.2,1.67,13.11,6.2,,11.18,5.38,2.43,2.68,7.63,0.17,,,1.75,10.28,12.65,10.4,6.16,185.73,37.58,3.27,,,10.94,,20.49,3.58,12.46,12.29,0.87,1.36,,,,,,3.24,,,,4.04,10.65,0.78,,19.24,1.36,5.62,13.84,11.57,31.71,,8.93,,,33.25,,,9,3562721478.0,Finance/Rental/Leasing,Finance
HRL,,31.24,,5.9,5.8,,,0.6,7.9,20.84,5.52,,27.13,3.73,,0.33,0.23,1.43,62.17,27.48,24.23,2.47,0.43,,0.68,3.81,17.18,13.93,24.01,16.35,12.94,1.5,1.54,5.82,0.58,6.42,4.89,3.89,18.76,6.62,4.39,2.04,47.95,16.51,14.41,,,6.55,,8.73,2.05,19.9,17.94,29.9,1.33,,,,,20.49,3.47,0.62,,,15.21,22.37,,1.13,15.14,0.7,5.94,32.58,9.37,10.36,,7.2,,3.84,15.38,,,10,20897439716.000004,Food: Meat/Fish/Dairy,Consumer Non-Durables
HRMY,,59.66,,,,,,,304.9,69.37,,,63.3,5.74,,3.3,1.88,4.12,15.46,23.19,39.53,0.92,0.41,,,,9.5,8.42,10.64,,,2.54,3.33,10.53,0.62,31.26,8.68,,11.26,,,31.87,76.69,80.63,16.75,,,27.82,,36.8,4.05,13.54,11.11,,3.6,,,,,11.51,1.69,,26.24,11.74,11.51,75.77,,,5.77,4.07,21.11,16873,30.67,34.96,,54.33,,,,,,2,2251205466.0,Pharmaceuticals: Major,Health Technology
HSAI,,26.47,,,,,,,53.9,29.2,,,26.21,1.62,,3.19,8.98,4.26,185.13,58.7,87.01,,0.09,,,,,,,,104.11,1.51,0.46,,0.76,,,,,,,,0.0,32.1,,,,,,,0.92,,,,2.1,,,,,,,,1.87,1.2,,,,,0.93,3.76,,,,,,,,,,,,,1276686820.0,Aerospace & Defense,Electronic Technology
HSIC,,46.14,2.8,7.7,,4.9,,,11.1,32.17,,,41.37,3.56,,0.08,0.07,1.97,78.14,38.23,42.9,2.54,0.63,,,,17.69,13.14,18.26,11.54,10.23,0.92,0.93,5.65,0.37,5.11,6.78,,14.81,15.75,8.5,1.94,85.4,31,10.48,,,3.51,,6.52,2.62,21.81,16,2,0.78,,1.23,1.31,,15.09,,0.83,,,12.43,19.63,1.57,1.11,,1.09,4.98,25.31,9.92,12.54,,9.3,,,18.07,,,10,9716800172.0,Medical Distributors,Distribution Services
HST,7.53,52.57,,,,,,10.3,,57.04,3.32,17.81,52.32,2.21,,0.71,0.19,1.19,,40.09,,2.9,0.7,,0.58,3.32,18.14,10.7,20.17,18.74,10.71,3.16,3.36,5.51,0.56,16.66,6.33,3.32,18.35,,16.11,7.98,27.91,58.73,4.31,,,14.38,,14.95,2.01,18.65,20.08,,2.63,,,,9.83,15.99,1.34,1.03,,,9.34,15.39,,1.47,2.01,1.19,6.16,175.06,8.87,11.03,,6.48,,5.7,23.04,,,8,11812640921.0,Real Estate Investment Trusts,Finance
HSY,,53.41,0.6,24.6,9,10.8,12.6,8.5,10,48.06,3.37,,52,5.25,,0.16,0.09,1.09,74.55,54.45,28.71,1.88,1.32,,0.45,2.28,19.64,17.38,28.17,16.29,13.93,3.85,4.1,5.09,0.33,14.56,4.07,2.8,19.31,13.5,6.16,4.69,251.76,44.98,16.61,,,17.11,,23.55,10.07,21.6,20.47,2.03,3.59,,1.29,1.38,,24.74,,1.1,,,17.23,24.31,2.06,1.89,,0.63,16.94,63.92,29.11,54.53,,23.37,,3.21,31.42,,,10,43420855847.0,Food: Specialty/Candy,Consumer Non-Durables
HTHT,,45.36,,4.3,,,,,6.8,45.04,1.93,,45.57,1.48,,0.53,0.21,0.73,1.84,25.34,19.5,5.95,2.67,,,1.94,21.27,16.27,18.55,18.58,14.33,5.04,5.11,4.7,0.23,27.55,7.63,1.94,,2.44,,13.58,50.44,30.92,8.9,,,16.01,,19.11,5.17,23.23,23.92,,3.73,,,,,13.69,4.68,0.63,,,11.85,13.83,,2.86,20.58,0.72,5.08,12.74,9.83,28.26,,4.6,,7.87,144.95,,,7,13056705363.35459,Hotels/Resorts/Cruise lines,Consumer Services
HTLD,,49.86,1.3,9.1,,18.9,9.1,,19,66.37,0.62,,54.19,2.77,,0.23,0.09,1.37,,18.14,36.1,1.65,0.37,,0.44,0.61,29.76,6.83,,48.82,6.01,1.11,1.09,3.36,0.57,,,0.61,94.34,12.18,,10.41,28.82,10.23,0.05,,,1.22,,0.11,1.21,73.44,,,0.84,,,,,,,0.33,,,5.07,19.54,7.34,3.55,2.35,1.37,0.93,4.51,3.04,1.71,,0.07,,,12.24,,,10,1242311544.0,Trucking,Transportation
HTZ,,43.83,,204.5,,17.3,,10.8,,41.76,,,43.68,0.65,,0.44,0.04,1.4,,35.64,45.95,4.89,5.77,,,,18.27,5.4,,,,1.93,2.1,5.47,0.13,,,,9.02,,,,21.45,16.88,0.78,,,6.57,,6.62,0.83,10.17,,,0.29,,,,,,,,,,1.09,,,,,1.4,2.51,6.26,4.81,19.78,,5.98,,,,,,5,5017470295.0,Finance/Rental/Leasing,Finance
HUBB,36.21,70.98,0.4,12,7.3,23.3,29,8.5,13.8,80.94,1.83,7.18,74.49,4.27,,0.26,0.16,1.64,82.45,57.57,54.43,1.83,0.74,,0.3,1.26,20.74,18.08,29.58,17.66,17.22,3.65,3.94,4.82,0.42,13.31,3.67,1.34,22.42,12.86,10,5.82,284.23,35.14,28.3,,,14.14,,19.33,6.78,25.84,23.7,2.24,3.67,,1.56,1.83,,27.45,,1.89,,,22.27,25.72,2.35,2.37,,1.01,13.01,85.05,21.61,29.07,,18.54,,0.65,43.79,,,10,16939356661.000002,Electrical Products,Producer Manufacturing
HUBG,,52.72,2.5,15.1,,23.1,32.3,70.6,8,57.05,,0.19,52.35,3.99,,0.28,0.33,1.29,,34.76,56.56,1.41,0.35,,,,14.4,7.88,11.37,14.77,8,0.71,0.76,6.94,0.56,6.71,9.87,,20,25.64,,2.13,37.51,16.9,15.29,,,3.99,,4.89,1.74,17.27,17.87,0.87,0.67,,0.81,0.33,,10.18,1.95,1.47,,,6.81,9.93,0.76,0.86,4.78,1.29,5.84,19.46,10.02,10.3,,8.02,,,18.75,,,10,2578734311.0,Air Freight/Couriers,Transportation
HUBS,57.34,74.7,,10,,,,34.5,30.9,85.57,,15.62,78.9,12.28,,1.9,2.03,2.35,,12.36,35.83,,0.66,,,,,,126.74,237.5,146.4,12.56,14.98,,0.42,11.82,0.75,,97.09,,32.47,21.09,621.01,83.62,,,,,,,27.32,,318.54,,14.97,,,,,126.35,21.1,,,93.71,91.39,,,12.54,31.45,2.35,,,,,,,,,,,,,25594841231.0,Packaged Software,Technology Services
HUN,,46.61,6.4,18.1,9.4,15.2,26.9,5.4,10.3,45.98,6.02,,46.42,2.33,,0.39,0.25,1.88,68.43,56.46,50.67,4.14,0.58,,1.52,3.95,28.76,11.83,46.44,27.5,8.94,0.93,0.89,3.48,0.47,1.92,2.91,3.95,23.09,15.35,,,28.74,14.85,2.63,,,2.85,,2.64,1.22,25.06,39.44,4.75,0.69,,,,,37.27,1.75,1.01,,,12.56,29.47,5.38,0.5,1.74,1.14,2.32,5.44,3.08,4.97,,0.76,,15.55,,,,10,4566570649.0,Chemicals: Major Diversified,Process Industries
HURN,47.87,51.23,4.5,2.7,,14.6,7.8,,9.2,56.49,,4.69,51.86,3.55,,0.04,0.02,1.53,,4.62,41.58,2.54,0.74,,,,17.1,14.4,20.37,,,1.57,1.69,5.85,0.43,8.3,5.86,,18.48,14.71,,11.35,96.67,30.07,7.02,,,5.6,,9.88,3.51,26.54,21.75,5.3,1.49,,0.7,1.57,,18.11,,1.08,,,14.05,28.52,1.95,1.34,,1.53,6.22,218.18,13.22,13.99,,9.42,,3.76,77.83,,,8,1884726775.9999995,Miscellaneous Commercial Services,Commercial Services
