SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
1,FOX,27.33,13776998000.0,Consumer Services,Broadcasting
9,FNV,107.41,20635544412.047035,Non-Energy Minerals,Precious Metals
9,FNF,46.82,12742449844.999998,Finance,Specialty Insurance
4,FND,100.8,10742245527.999998,Retail Trade,Home Improvement Chains
9,FMX,127.56,27493907943.29696,Consumer Non-Durables,Beverages: Non-Alcoholic
3,FMS,20.12,11762300122.196575,Health Services,Medical/Nursing Services
8,FLT,256.06,18488587931.0,Commercial Services,Miscellaneous Commercial Services
7,FLEX,25.4,11008310070.0,Electronic Technology,Electronic Production Equipment
8,FIVE,195.93,10813918649.0,Retail Trade,Discount Stores
9,FITB,30.81,20982121130.0,Finance,Regional Banks
9,FIS,58.92,34909135136.0,Technology Services,Packaged Software
7,FICO,1118.06,27631240193.0,Technology Services,Packaged Software
6,FI,131.42,78876399514.0,Finance,Regional Banks
1,FFIV,169.1,10096489667.0,Technology Services,Packaged Software
N/A,FERG,178.66,36355462425.0,Distribution Services,Wholesale Distributors
7,FE,37.3,21403292323.0,Utilities,Electric Utilities
8,FDX,267.63,67287657849.0,Transportation,Air Freight/Couriers
1,FDS,442.14,16796216812.999998,Technology Services,Data Processing Services
9,FCX,36.37,52153752685.0,Non-Energy Minerals,Other Metals/Minerals
7,FCNCA,1429.38,20579542686.0,Finance,Regional Banks
6,FAST,62.36,35633328000.00001,Distribution Services,Wholesale Distributors
6,FANG,147.59,26416382072.0,Energy Minerals,Oil & Gas Production
5,F/PD,23.84,43311965072.0,Consumer Durables,Motor Vehicles
5,F/PC,23.85,43311965072.0,Consumer Durables,Motor Vehicles
5,F/PB,24.37,43311965072.0,Consumer Durables,Motor Vehicles
5,F,10.82,43311965072.0,Consumer Durables,Motor Vehicles
9,EXR,137.11,28968303679.0,Finance,Real Estate Investment Trusts
10,EXPE,143.65,19945548157.0,Consumer Services,Other Consumer Services
5,EXPD,120.1,17461263569.0,Transportation,Air Freight/Couriers
8,EXC,39.34,39160509001.0,Utilities,Electric Utilities
6,EXAS,64.96,11748012266.0,Health Technology,Medical Specialties
2,EW,68.26,41399691296.0,Health Technology,Medical Specialties
5,EVRG,51.7,11876562893.000002,Utilities,Electric Utilities
10,ETR,101.89,21546992348.0,Utilities,Electric Utilities
9,ETN,227.93,91012443293.0,Producer Manufacturing,Electrical Products
9,ET/PI,9.86,44823654309.0,Industrial Services,Oil & Gas Pipelines
9,ET/PE,24.9,44823654309.0,Industrial Services,Oil & Gas Pipelines
9,ET/PD,25.44,44823654309.0,Industrial Services,Oil & Gas Pipelines
9,ET/PC,25.4101,44823654309.0,Industrial Services,Oil & Gas Pipelines
9,ET,13.33,44823654308.99999,Industrial Services,Oil & Gas Pipelines
5,ESTC,113.19,11277175764.0,Technology Services,Packaged Software
6,ESS,224.85,14431909604.0,Finance,Real Estate Investment Trusts
6,ES,60.37,21088824308.0,Utilities,Electric Utilities
6,ERIE,306.02,14251463455.0,Finance,Property/Casualty Insurance
9,ERIC,5.59,18545343189.4731,Electronic Technology,Telecommunications Equipment
10,EQT,36.99,15215171397.000002,Energy Minerals,Oil & Gas Production
3,EQR,58.7,22289854565.0,Finance,Real Estate Investment Trusts
8,EQNR,30.35,91597963065.54272,Energy Minerals,Integrated Oil
7,EQIX,810.11,76055898311.0,Finance,Real Estate Investment Trusts
10,EQH/PC,15.87,10787583876.0,Finance,Life/Health Insurance
10,EQH/PA,20.29,10787583876.0,Finance,Life/Health Insurance
10,EQH,31.87,10787583876.000002,Finance,Life/Health Insurance
10,EPD,26.25,57011821289.0,Industrial Services,Oil & Gas Pipelines
7,EPAM,264.36,15253697413.0,Technology Services,Information Technology Services
9,EOG,118.35,69015753935.0,Energy Minerals,Oil & Gas Production
10,ENTG,106.2,15946873635.0,Producer Manufacturing,Industrial Machinery
8,ENPH,107.17,14634194400.000004,Electronic Technology,Semiconductors
7,ENB,34.8,73969990115.44186,Industrial Services,Oil & Gas Pipelines
9,EMR,88.72,50579270530.0,Electronic Technology,Electronic Equipment/Instruments
7,EMN,85.07,10086240996.0,Process Industries,Chemicals: Major Diversified
6,ELV,476.96,112066107958.0,Health Services,Managed Health Care
7,ELS,71.0,13233882797.0,Finance,Real Estate Investment Trusts
8,EL,135.84,48609880077.0,Consumer Non-Durables,Household/Personal Care
7,EIX,67.31,25818009983.0,Utilities,Electric Utilities
8,EG,383.36,16634153319.0,Finance,Property/Casualty Insurance
5,EFX,224.25,27631361567.0,Commercial Services,Miscellaneous Commercial Services
9,EDU,79.79,13049303945.172428,Consumer Services,Other Consumer Services
7,EDR,24.36,17003647871.000004,Consumer Services,Media Conglomerates
6,ED,92.44,31912118008.0,Utilities,Electric Utilities
6,ECL,192.42,54866599991.0,Process Industries,Chemicals: Specialty
9,EC,12.37,25439516140.273308,Energy Minerals,Integrated Oil
4,EBR.B,9.39,19665152523.5152,Utilities,Electric Utilities
6,EBR,8.41,19665152523.5152,Utilities,Electric Utilities
8,EBAY,41.48,21528119762.0,Retail Trade,Internet Retail
9,EA,135.55,36458400497.0,Technology Services,Packaged Software
7,E,31.85,53293384843.23554,Energy Minerals,Oil Refining/Marketing
