,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year
49,AEP,-21.05,53.26,-1.3,5.4,5.4,6.6,5,8.6,6.8,69.52,5.45,-14.57,60.44,0.78,,0.04,0.01,0.61,57.63,101.44,18.14,6.69,1.87,Grey,0.85,4.15,24.68,12.83,-24.4,17.71,10.35,4.02,4.4,4.05,0.25,4.15,14.29,0.87,6.51,4.15,56.56,2.16,,,10.2,WACC vs ROIC,18.1,1.73,20.79,20.79,4.73,2.13,4/9,,,,,1.26,0.94,,,9.88,,3.73,74.8,1.73,0.48,2.13,4.81,4.33,8.29,,3.91,Beneish M-Score,-5.77,17.91,ROIC,,10
50,AER,33.57,53.07,-23.2,-2.5,,-9.1,,,-7.5,63.82,,18.16,56.7,0.6,,0.84,0.03,4.26,4.19,69.01,6.2,10.78,2.84,Grey,,,31.27,13.82,5031.1,16.34,9.62,7.92,8.17,3.2,0.23,,6.23,-6.35,,12.65,31.99,N/A,,N/A,25.54,WACC vs ROIC,26.12,0.89,8,8,,2.02,8/9,,,,1947.79,0.63,1.2,,,2.84,9.59,,1.75,1.1,4.21,2.67,3.21,2.79,11.76,,2.51,Beneish M-Score,-12.19,12.27,ROIC,,8
51,AES,-32.56,36.26,-0.2,-19.1,5,-13.6,,,7.3,44.64,4.98,-21.91,38.61,0.54,,0.27,0.08,0.94,32,57.46,49.76,11.62,10.65,Grey,,3.8,30.44,16.2,-11.38,16.9,10.76,2.96,2.86,3.29,0.06,3.8,8.84,-25.04,7.32,1.15,19.66,1.91,,,-2.86,WACC vs ROIC,17.97,6.98,,,,0.93,3/9,,,,,,1.05,,,3.89,,,,,0.84,-0.96,5.03,3.79,-13.51,,512.21,Beneish M-Score,-27.04,,ROIC,,6
52,AESC,-28.08,36.32,-0.2,-19.1,5,-13.6,,,7.3,46.41,,-17,39.33,0.54,,0.27,0.08,0.94,32,57.46,49.76,11.62,10.65,Grey,,,,,-11.38,,,,,,0.06,,,-25.04,7.32,1.15,19.66,1.91,,N/A,-2.86,WACC vs ROIC,17.97,,N/A,N/A,,0.94,3/9,,,,,,,,,3.91,,,,,0.84,-0.96,5.03,3.79,-13.51,,512.21,Beneish M-Score,-27.04,,ROIC,,6
53,AESI,,60.02,,,,,,,,51.09,1.49,30.53,57.76,4.16,,2.42,2.61,3.22,20.1,45.73,49.34,0.41,1.71,Grey,0.18,1.52,3.94,3.52,15.96,,2.57,1.36,1.86,25.38,0.06,3.47,8.08,,,25.17,52.8,24.18,,,36.66,,47.14,17.19,27.27,27.27,,2.19,N/A/9,,,,18.91,4.56,,,,4.64,,,,17.19,3.1,23.66,45.2,34.45,80.3,,41.34,WACC vs ROIC,4.11,,ROIC,,2
54,AFG,-14.5,48.52,1.9,-11.8,11.9,13.2,22.7,-20.6,5.7,57.94,4,-3.46,50.85,,,,,,,,,,,,0.25,2.22,8.78,8.17,8.73,,,,1.38,11.39,,2.22,,32.47,,,,,,,11.61,,,2.41,11.34,11.34,1.02,1.32,,,,,8.28,1.14,1.02,,,8.28,,0.81,0.45,2.57,,2.96,,,21.34,,3.93,,7.1,11.17,,,10
55,AFGC,,,,,,,,,,,,,,,,,,,,,,,,,,,-148.07,-148.07,,,,,,-0.68,,,,,,,,No Debt,,,,,,,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,AFL,27.15,62.04,5.4,-3,14,6.6,14.2,-5.9,0.9,64.27,3.72,23.66,63.88,,,,,,,,,,,,0.22,2.17,9.64,9.64,15.11,,,2.72,2.56,10.37,,2.2,12.29,19.4,,-5.95,,,,,24.42,,,2.23,10.21,10.21,1.15,2.52,,,,,14.89,1.01,1.66,,,14.89,,1,0.67,2.23,,3.49,,,20.34,,3.9,,10.1,13.38,,,10
57,AFRM,-39.56,77.84,-6.9,,,-89.2,-66,5.8,30.4,85.61,,47.36,83.2,1.17,,14.15,0.38,47.02,,12.98,37.99,-8.12,2.15,Grey,,,-12.98,-15.59,-96.26,-679.77,119.98,5.5,6.59,-7.7,0.31,,,,,21.72,45.01,,,,-62.05,WACC vs ROIC,-61.84,2.85,,,,4.49,4/9,,,,,,,,5.8,572.12,,,,3.7,47.02,-13.1,-114.22,-10.95,-38.68,,-19.52,Beneish M-Score,-28.24,,ROIC,,
58,AFYA,6.79,51.5,-0.1,6.5,,24.4,16.9,26.5,26.8,39.43,,39.17,48.48,1.85,,0.63,0.26,1.17,4.27,139.7,64.47,3.01,0.83,Grey,,,13.23,9.96,14.86,10.54,8.07,3.09,3.82,7.56,0.43,,13.51,,,26.48,61.88,1.97,,,13.01,WACC vs ROIC,26.94,2.1,21.51,21.51,0.39,2.87,5/9,,,,11.1,,,,,7.78,20.64,0.8,,,1.17,4.64,59.32,11.98,10.46,,9.67,Beneish M-Score,-7.14,,ROIC,,6
59,AG,-23.61,47.88,-9.4,18.8,,20.4,-30.5,,10.3,63.64,0.38,-14.88,51.24,1.23,,1.69,0.83,2.89,37.13,39.59,3.89,-3.64,0.19,Grey,,0.38,-7.9,-24.38,-12.44,,,3.21,2.66,-12.66,0.68,0.35,13.46,18.57,,-1.34,-2.52,,,,-25.55,WACC vs ROIC,-14.28,1.23,,,,2.55,3/9,,,,,,0.61,,,23.63,,,6.24,1.23,2.43,-7.77,-13.9,-11.14,-11.61,,-3.56,Beneish M-Score,-21.53,,ROIC,,2
60,AGCO,13.03,45.78,0.4,11.2,13.5,37.6,93.8,3.1,12.9,45.86,1.38,0.41,45.77,3.4,,0.11,0.19,1.57,119.21,45.15,34.93,1.37,0.58,Grey,0.07,0.86,7.52,6.36,20.1,7.28,5.96,0.76,0.79,13.3,0.36,0.94,8.39,24.21,5.2,5.38,24.97,36.83,,,7.84,WACC vs ROIC,11.95,2.22,8.29,8.29,0.39,0.65,6/9,,,,16.63,1.17,1.05,,,8.87,11.47,0.34,1.03,3.72,0.68,10.69,42.19,22.85,29.17,,18.4,Beneish M-Score,-0.43,19.14,ROIC,,10
61,AGI,60.7,58.05,-0.2,1.2,36.9,-1,-27.2,-67.8,7.3,74.09,4.84,7.44,62.55,3.17,,0.98,No Debt,2.52,134.89,93.21,13.94,,,Grey,0.24,0.81,18.08,10.43,51.43,,,4.95,4.83,5.53,0.74,0.81,21.19,11.12,,-0.5,33.79,48.13,,,16.99,WACC vs ROIC,26.64,1.76,30.59,30.59,3.4,5.2,7/9,,,,54.78,1.55,1.33,,,11.98,33.86,2.86,2.03,1.76,1.26,4.46,7.9,7.38,5.99,,4.99,Beneish M-Score,0.86,,ROIC,,5
62,AGIO,-18.57,43.85,7,28.8,,-10.6,5.5,3.5,,32.25,,17.44,40.02,6.77,,12.74,8.9,13.73,1260.97,1608.39,34.97,-0.22,0.08,Grey,,,-2.34,-2.39,-2.92,-0.81,,11.01,43.52,-42.74,0.89,,,,,,87.13,N/A,,N/A,-1042.56,WACC vs ROIC,-1859.21,1.51,,,,71.75,2/9,,,,,,,2.5,2.28,,,,,1.51,13.45,-17.78,-372.06,-33.19,-19.91,,-92.86,Beneish M-Score,0.73,,ROIC,,1
63,AGL,-26.73,56.79,-2.4,,,-8.6,4.4,-12.6,47.5,68.33,,-23.55,61.1,4.13,,0.43,11.38,1.5,,85.7,82.85,-0.79,0.06,Grey,,,-83.8,-105.96,-44.84,,,1.21,1.86,-1.19,0.37,,188.68,,,,4.64,,,,-2.39,WACC vs ROIC,-3.33,8.64,,,,2.19,4/9,,,,,,,,13.3,,,,,10.47,1.5,-4.42,-91.07,-7.03,-8.46,,-38.28,Beneish M-Score,11.47,,ROIC,,
64,AGM,66,47.02,-0.3,11,10.7,,16.9,,16.4,34.12,7.75,38.59,41.03,,,,,,,,,,,,0.29,2.57,,,59.89,,,77.79,86.7,,,2.66,10.52,26.97,,14.68,,,,,56,,,1.79,11.89,11.89,1.29,4.85,,0.64,0.34,,3.33,0.9,1.26,,,3.33,,1.04,0.33,1.79,,0.66,,,14.09,,,,-153.93,15.35,,,10
65,AGM.A,64.39,32.72,-0.3,11,10.7,,16.9,,16.4,6.68,9.27,35.9,17.67,,,,,,,,,,,,0.29,3.11,,,59.89,,,77.79,86.48,,,3.22,8.69,26.97,,14.68,,,,,56,,,1.72,9.82,9.82,1.07,4.67,,0.53,0.28,,3.22,0.87,1.21,,,3.22,,1,0.32,1.72,,0.66,,,14.09,,,,-153.93,14.73,,,10
66,AGNC,-14.12,57.77,-2,-16.6,-10.4,,,-4.7,,71.15,8.69,-2.83,62.74,,,,,,,,,,,,,14.3,,,24.98,,,0.06,65.82,,,14.3,4.5,11.34,,,,,,,27.78,,,0.97,,,,127.48,,,,,18.83,,,,,18.83,,,0.34,1.06,,0.05,,,0.39,,,,7.73,55.94,,,7
67,AGO,10.21,58.03,14.2,6.4,11.6,-13.4,-21.7,-96.9,5.1,57.95,3.13,19.08,59.25,,,,,,,,,,,,0.21,1.79,12.16,12.16,-20.74,,,7.02,5.65,8.22,,1.84,12.32,-20.79,,-3.29,,,,,34.03,,,0.68,11.91,11.91,,3.99,,,,,,0.6,1.16,,,,,,,0.68,,1.85,,,6.03,,2.31,,4.73,9.29,,,10
68,AGR,-30.57,48.68,-7.8,0.7,,-5.6,1.7,-1.1,,60.16,5.16,-14.08,53.48,0.65,,0.01,0.01,0.59,30.01,103.21,67.34,5.51,0.54,Grey,1.17,5.08,30.25,12.55,-13.39,20.13,9.83,2.76,2.98,3.31,0.47,5.08,14.14,-10.71,4.03,3.99,30.92,2.07,,,7.23,WACC vs ROIC,8.95,0.69,23.1,23.1,7.7,1.67,5/9,,,,,0.93,,,,13.96,,,2.73,0.83,0.49,1.43,2.55,2.17,3,,2.01,Beneish M-Score,-4.11,13.75,ROIC,,9
69,AGRO,15.9,63.02,2.2,6.8,,17.4,,38.6,17.5,59.2,2.75,27.16,63.05,1.34,,0.38,0.16,1.69,214.41,62.48,25.28,2.63,1.2,Grey,0.37,2.75,8.89,4.49,19.52,,,,1.76,11.25,0.37,2.75,,19.67,,,34.84,1.84,,,6.66,WACC vs ROIC,18.1,1.04,13.64,13.64,0.59,0.91,5/9,1.18,0.33,,10.22,0.81,0.76,,,3.55,23.42,0.95,0.72,1.07,0.76,3.01,11.26,10.97,8.17,,6.28,Beneish M-Score,-10.87,39.07,ROIC,,6
70,AGTI,-36.52,23.1,-10.5,15.3,,3.5,,77.9,9.4,16.13,,-23.65,20.27,1.05,,0.05,0.01,1.82,34.49,31.63,68.28,5.11,1.25,Grey,,,36.83,9.61,25.36,14.39,7.96,1.8,1.96,2.72,0.39,,14.51,,,5.48,36.54,1.02,,,0.38,WACC vs ROIC,5.7,1.1,389.5,389.5,,0.99,5/9,,,,12.18,,,,,5.87,,,,,1.38,0.18,11.96,2.71,0.46,,-4.13,Beneish M-Score,0.68,,ROIC,,2
71,AGYS,55.27,46.65,-2.4,12.4,,,,50.5,3.4,47.66,,-6.92,46.33,11.73,,1.45,3.7,2.02,40.87,43.43,43.75,1.59,0.2,Grey,,,120.35,94.25,70.77,,,7.28,8.29,0.83,0.58,,,-8.58,,,60.68,11152,,,6.34,WACC vs ROIC,5.4,15.6,159.95,159.95,,8.68,5/9,,,,74.52,14.3,3,687.8,176.36,52.37,102.64,,7.54,28.66,1.91,5.59,55.14,8.76,9.13,,7.4,Beneish M-Score,-0.09,,ROIC,,3
72,AHCO,-29.66,25.49,-22.9,,,4.2,,,-3.1,11.63,,-0.44,18.92,1.01,,0.1,0.02,1.24,16.56,32.41,42.83,4.04,1.06,Grey,,,19.43,6.27,165.51,10.78,4.99,1.06,1.18,5.15,0.42,,10.04,,,8.6,12.42,1.3,,,1.42,WACC vs ROIC,5.24,0.6,81.17,81.17,,0.44,6/9,,,,58.43,,,,,3.13,7.84,,,,0.99,0.83,25.04,3.88,2,,2.58,Beneish M-Score,2.03,,ROIC,,3
73,AHH,-7.87,45.79,-6.4,4.7,-5,12.5,31.9,10.7,11.6,48.29,5.42,-4.1,47.05,0.58,,0.11,0.03,0.76,,88.35,61.77,6.94,2.2,Grey,1.13,6.76,18.43,11.52,21.58,,,,3.95,5.43,0.26,6.89,26.95,23.93,,,29.16,1.66,,,9.78,WACC vs ROIC,13.43,1.67,16.9,16.9,1.99,1.32,5/9,,,11.7,7.23,1.32,0.74,,,7.23,,1.53,0.52,2.33,0.76,2.51,153.34,6.11,8.93,,3.62,Beneish M-Score,-7.04,18.87,ROIC,,10
74,AI,118.47,35.4,-15.1,,,-39.5,-36.2,-25,4.5,27.41,,54.87,32,11.95,,6.78,310.15,8.08,,104.58,153.78,-0.01,,Grey,,,-8.93,-9.17,-18.31,,-310.69,8.04,9.5,-11.2,0.86,,,,,19.29,63.58,No Debt,,,-95.43,WACC vs ROIC,-106.4,3.46,,,,11.21,4/9,,,,,,,5.44,4.38,,,,,3.46,8.08,-23.65,-311.1,-29.7,-27.56,,-112.71,Beneish M-Score,0.01,,ROIC,,
75,AIG,8.49,67.71,5.5,-10.4,,25,52.2,,8.6,88.52,2.21,22.56,76.51,,,,,,,,,,,,0.2,2.22,9.5,5.55,13.97,,,1.27,1.3,10.53,,2.35,8.5,2.22,-6.3,-5.6,,,,,8.89,,,1.05,10.06,10.06,,0.91,,,,,9.92,0.68,0.88,,,9.92,,,0.83,1.05,,0.85,,,10.71,,1.16,,14.96,23.17,,,6
76,AIN,7.04,32.32,1.3,8.7,6.4,-5.8,-9.5,-37.2,0.3,28.96,1.51,0.93,28.8,4.24,,1.66,0.62,4.99,77.2,37.7,65.77,2.32,0.54,Grey,0.36,1.17,20.51,13.72,290.58,,,,2.68,4.88,0.53,1.17,,5.11,,,37.26,10.64,,,7.68,WACC vs ROIC,16.56,2.93,32.5,32.5,4.33,2.5,7/9,1.09,23.42,,270.48,2.35,1.12,,24.85,25.41,784.13,,1.85,3.81,4.15,5.01,22.24,9.65,9.58,,10.28,Beneish M-Score,-1.35,30.2,ROIC,,10
77,AIR,48.76,50.37,0.2,7,,24.5,52.5,53,-1.4,55.44,,16.81,50.41,4.21,,0.19,0.22,3.12,129.12,37.15,33.24,1.97,0.29,Grey,,,17.51,14.48,-376.64,,,1.05,1.17,5.71,0.6,,17.21,4.81,,5.35,18.59,11.24,,,4.53,WACC vs ROIC,6.89,1.9,23.42,23.51,6.19,1.04,7/9,,,,,1.59,1.46,,5.73,92.86,,,1.77,2.43,1.49,5.42,18.76,10.09,8.55,,7.91,Beneish M-Score,-4.38,44.56,ROIC,,10
78,AIRC,-17.56,40.06,-7.4,-0.8,-2.6,5,15.8,106.7,-8.5,44.66,5.39,-6.69,40.79,0.65,,0.14,0.03,0.17,,,,4.25,1.84,Grey,0.87,5.5,17.16,9.78,40.25,55.26,15.54,10.06,10.15,5.83,0.31,5.5,144.93,-5.55,,3.82,66.27,0.98,,,38.14,WACC vs ROIC,16.74,2.43,15.65,15.65,,5.91,6/9,,,13.88,23.53,1.31,0.91,,,12.32,11.02,,1.98,2.48,0.17,4.87,138.7,8.79,15.33,,2.08,Beneish M-Score,4.74,9.37,ROIC,,9
79,AIT,45.22,56.75,,20.1,3.1,50.1,142.5,4.5,10.6,47.84,1.03,14.15,54.2,6.43,,0.64,0.55,3.05,58.18,31.87,56.23,1.18,0.43,Grey,0.16,0.89,13.48,12.12,20.1,,,,1.45,7.42,0.53,0.89,,17.18,,,29.16,19.03,,,7.86,WACC vs ROIC,10.69,4.16,17.76,17.76,1.24,1.4,7/9,1.15,1.1,,19.41,2.73,1.62,,16.77,17.89,19.62,1.33,1.83,9.42,2.12,13.54,46.67,22.86,26.65,,17.46,Beneish M-Score,2.77,37.29,ROIC,,10
80,AIU,-2.86,46.99,-31.5,,,,,,-86.8,45.02,,-1.04,46.24,-54.68,,0.53,0.59,0.53,,,,-2.34,-1.91,Grey,,,,,-410.61,,,,,,-0.88,,,,,,27.67,,,N/A,-5103.73,,-1104.34,,N/A,N/A,,5.37,2/9,,,,,,,,,,,,,,0.53,-364.71,-149146.67,,,,-7.61,WACC vs ROIC,-0.03,,ROIC,,5
81,AIV,-10.3,31.74,0.5,2.7,,62,11.9,,9.4,29.17,,12.34,30.21,0.38,,1.39,0.14,2.12,,,7.24,-34.11,2.26,Grey,,,-12.45,-60.7,-45.71,,,,11.71,-8.03,0.24,,,,,,61.5,,,,-102.47,WACC vs ROIC,-34.17,2.02,,,,6.08,4/9,,,20.15,,,,,,5.69,,,,2.07,2.12,-8.14,-140.63,-7.88,-29.59,,-2.63,Beneish M-Score,36.28,,ROIC,,3
82,AIZ,-9.5,49.81,4.1,-5.3,4.1,1.8,3.5,-29,6.8,44.27,2.6,26.74,47.06,,,,,,,,,,,,0.43,2.02,14.48,10.95,6.98,,,0.72,0.77,6.91,,2.02,9.42,20.99,,3.93,,,,,3.27,,,1.64,21.56,21.56,3.12,0.71,,,,,6.38,2.53,0.94,,,5.49,7.31,2,0.61,6.67,,1.05,,,7.97,,1.51,,4.1,14.75,,,10
83,AJG,21.32,57.76,-4.1,16.3,5.9,17.8,13.8,17.8,2,54.45,1.22,26.41,56.62,1.08,,0.03,0.13,1.04,,1398.79,468.32,3.14,0.72,Grey,0.41,0.94,32.28,23.68,25.11,16.51,15.75,5.48,6.13,3.1,0.19,0.96,23.04,20.52,,10.39,42.23,6.37,,,12.08,WACC vs ROIC,18.98,4.77,44.86,44.86,2.64,5.42,5/9,2.42,0.88,,22.06,,2.66,,,20.45,23.63,2.57,2.09,,1.04,2.56,94.77,10.1,11.9,,4.69,Beneish M-Score,-0.35,57.54,ROIC,,10
84,AKAM,16.85,60.35,1.1,7.3,,8.2,4,19,8.6,49.57,,43.33,56.5,3.53,,0.92,0.24,2,,40.22,48.48,2.77,0.77,Grey,,,30.21,15.59,26.31,20.44,11.94,4.54,5.05,3.31,0.51,,16.18,16.9,8,6,60.69,81.68,,,13.95,WACC vs ROIC,18.7,3.7,35.3,35.3,2.32,4.46,5/9,2.04,1.28,,23.33,4.98,0.87,,,12.49,32.38,2.68,1.36,15.81,2,6.21,24.17,8.25,11.97,,8.37,Beneish M-Score,2.81,36.93,ROIC,,10
85,AKO.A,40.42,40.86,,-3.4,10.5,1.2,-10.3,13.5,14.3,38.54,12.76,10.87,39.92,2.33,,0.55,0.37,1.21,53.25,70.45,26.11,3.97,1.34,Grey,1.16,8.37,7.97,7.97,19.68,6.56,4.93,0.9,0.86,12.55,0.31,10.02,,15.8,,,38.5,6.18,,,4.63,WACC vs ROIC,12.5,1.88,12.05,12.05,2.11,0.61,6/9,0.97,0.4,,12.48,3.79,0.6,,,4.53,171.84,1.81,0.7,26.29,0.89,4.25,35.65,13.01,13.51,,8.21,Beneish M-Score,4.02,11.16,ROIC,,10
86,AKO.B,40.7,38.19,,-3.4,10.5,1.2,-10.3,13.5,14.3,44.95,12.24,9.18,39.14,2.33,,0.55,0.37,1.21,53.25,70.45,26.11,3.97,1.34,Grey,1.55,8.04,8.96,8.96,19.68,6.56,4.93,0.9,0.96,11.16,0.31,8.04,,15.8,,,38.5,6.18,,,4.63,WACC vs ROIC,12.5,1.92,14.15,14.15,2.48,0.62,6/9,1.14,0.47,,12.72,3.86,0.61,,,4.61,175,1.85,0.71,27.25,0.89,4.25,35.65,13.01,13.51,,8.21,Beneish M-Score,4.02,11.39,ROIC,,10
87,AKR,0.73,69.97,-3,0.1,-13.9,-14.7,,8.8,0.2,90.2,2.2,10.72,78.6,0.44,,0.18,0.03,0.98,,204.67,51.68,11.81,1.07,Grey,,4.5,179.19,21.41,20.7,,15.52,,9.84,0.56,0.4,4.5,55.25,2.19,,,68.61,0.59,,,-8.81,WACC vs ROIC,15.49,0.91,,,,4.56,3/9,,,10.29,9.63,,0.53,,,9.63,,,0.61,0.95,0.98,-0.68,48.96,0.45,-1.73,,1.22,Beneish M-Score,7.3,24.26,ROIC,,8
88,AKRO,78.93,69.74,-17.9,15.6,,2,0.3,-0.1,,83.14,,17.18,75.21,,,29.6,,29.78,,,,,,,,,-19.43,-19.44,-22.73,-10.66,-10.82,,,-5.15,,,,,,,,,,,,,,4.71,,,,,,,,,,,,4.9,4.87,,,,,4.71,29.78,-29.86,-8818.75,-31.1,-33.17,,-1678.26,,-0.57,,,,
89,AL,13.34,44.73,0.7,6.5,11.8,-15.4,,12.8,5.2,49.54,4.59,7.95,45.4,0.4,,0.37,0.03,0.37,,183.79,,11,2.76,Grey,0.19,2.01,32.73,13.22,-8.34,13.6,7.72,7.2,9.18,3.06,0.23,2.01,6.41,-59.47,,9.78,35.11,12.42,,,20.91,WACC vs ROIC,26.81,0.64,9.31,9.31,,1.75,6/9,,,,,0.52,0.66,,,2.77,,,,0.64,0.37,1.8,2.67,2.5,7.78,,1.91,Beneish M-Score,-24.77,9.49,ROIC,,9
90,ALB,-35.82,36.06,-3.4,22.5,2.4,45.7,65.7,,22.6,27.66,1.06,-14.16,33.66,3.24,,0.37,0.46,1.74,148.27,100.93,44.45,1,0.36,Grey,0.05,0.87,7.48,6.75,24.51,8.26,6.69,2.18,2.45,13.37,0.51,0.87,8.48,12.89,21.43,24.69,40.15,27.96,,,40.55,WACC vs ROIC,30.69,2.2,5.53,5.53,0.53,2.23,6/9,,,,22.51,0.82,0.71,,,8.18,13.91,0.42,3.18,2.73,0.88,24.96,40.23,24.85,49.19,,21.29,Beneish M-Score,-2.11,24.06,ROIC,,10
91,ALC,17.92,46.33,-0.1,-1.3,,10.1,,21.9,2.8,43.62,0.29,23.06,44.78,,,0.35,,1.87,183.82,79.88,67.06,,,,0.32,0.29,62.39,35.49,76.59,35.93,19,4.45,4.88,1.6,,0.29,26.25,,11.18,5.68,55.06,,,,3.97,,8.39,1.96,113.79,113.79,21.47,4.32,,,,,69.49,13.82,,,,32.53,208.54,21.91,,37.76,1.11,1.26,11.78,2.7,1.8,,1.93,,-0.56,,,,3
92,ALE,-5.88,55.49,-3.4,2.9,3.4,-4.8,-2,,5.3,72.86,5.73,-13.15,62.08,1.22,,0.13,0.03,1.17,92.81,27.27,22.42,3.97,0.66,Grey,0.78,4.74,24.72,11.01,16.16,,,,2.61,4.05,0.42,4.74,13.53,-6.31,6.3,,24.94,2.17,,,10.2,WACC vs ROIC,8.83,1.19,16.59,16.59,,1.68,5/9,,,,10.42,0.96,0.72,,,5.81,25.9,,2.33,1.26,0.66,2.88,3.86,3.28,7.22,,2.94,Beneish M-Score,6.65,14.5,ROIC,,10
93,ALEX,2.1,42.03,-0.1,-2.8,6.4,20.5,,,-19.3,54.15,5.07,-1.21,44.65,0.65,,0.05,0.02,1.65,171.86,61.13,42.65,5.09,0.5,Grey,1.54,5.07,27.62,17.5,162.02,,,,11.84,3.62,0.57,5.07,,-4.33,,,61.27,2.83,,,-31.48,WACC vs ROIC,41.44,1.23,,29.44,2.23,8.54,4/9,,,,116.88,1.28,1.96,,,29.61,,,1.51,1.24,1.65,-2.57,61.08,3.86,-4.35,,3.6,Beneish M-Score,9.66,29.95,ROIC,,6
94,ALG,33.31,46.19,-0.7,10.5,14.5,15.5,16.9,,10.2,55.92,0.84,1.03,49.7,4.91,,0.52,0.31,4.06,110.69,32.18,75.76,1.57,0.42,Grey,0.08,0.49,12.54,9.96,38.12,,,,1.44,7.97,0.59,0.51,,14.97,,,26.17,8.54,,,7.76,WACC vs ROIC,11.32,2.36,16.43,16.43,1.43,1.27,7/9,0.93,2.93,,33.84,1.72,1.15,,7.31,21.54,29.72,1.32,1.5,4.06,2.34,9.1,25.89,15.73,15.8,,12.56,Beneish M-Score,-0.58,27.57,ROIC,,10
95,ALGM,73.09,22.59,-0.7,14.3,,29.8,75.3,45.3,13.2,5.51,,-12.5,14.74,21.43,,2.3,7.62,4.56,102.93,40.15,43.45,0.14,0.05,Grey,,,22.99,19.21,64.54,19.35,16.14,5.44,6,4.35,0.83,,22.17,,,10.4,56.63,96.22,,,23.01,WACC vs ROIC,24.82,6.14,26.83,26.83,,6.18,6/9,,,,66.06,2.82,,43.14,12.81,30.79,,,,6.65,3.43,22.01,65.73,28.56,26.66,,36.16,Beneish M-Score,-0.01,,ROIC,,5
96,ALGN,43.27,40.68,0.5,39.5,,10.3,-5.9,-22.1,16.6,38.64,,13.48,38.02,7.64,,0.48,7.55,1.17,103.36,42.34,86.81,0.19,0.04,Grey,,,42.92,34.62,40.22,27.3,23.34,5.66,6.58,2.33,0.59,,32.47,18.23,15.8,8.48,69.87,N/A,,N/A,8.4,WACC vs ROIC,15.34,6.98,81.59,81.59,4.58,6.88,4/9,2.61,1.59,,41.99,5.42,0.87,,,29.83,58.92,5.03,2.5,8.11,1.02,5.28,42.44,14.28,8.72,,6.78,Beneish M-Score,-0.03,47.71,ROIC,,10
97,ALGT,1.89,28.5,-3.6,7.5,,-20.2,-78.6,-21.9,3.6,33.97,0.71,15.61,30.13,1.43,,0.92,0.43,1.13,6.68,11.26,10.96,4.27,1.65,Grey,,0.71,8.92,5.39,-31.72,,,0.97,1.15,11.21,0.28,0.71,6.77,-6.88,,14.18,21.51,2.54,,,6.01,WACC vs ROIC,12.3,1.14,10.35,10.35,,0.6,8/9,,,,,0.72,0.35,,,3.57,38.04,,1.69,1.14,1.1,3.29,10.88,8.95,11.98,,5.84,Beneish M-Score,-12.83,9.37,ROIC,,9
98,ALHC,-57.88,55.83,-7.2,,,-93.1,-41.3,-279.3,16.7,75.93,,10.86,62.2,1.61,,1.29,3.03,1.7,,42.93,22.18,-1.38,0.81,Grey,,,-5.23,-6.06,14.9,-36.08,908.51,0.38,0.46,-19.12,0.27,,,,,20.55,10.96,,,,-10.04,WACC vs ROIC,-8.72,5.43,,,,0.66,4/9,,,,22.86,,,,10.48,14.36,,,,6.76,1.7,-22.49,-320.88,-34.67,-65.9,,-71.97,Beneish M-Score,-0.74,,ROIC,,
