AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
56.0,5.0,REXR/PC,21.7,11734899234.0,Finance,Real Estate Investment Trusts,158.06451612903226
56.0,5.0,REXR/PB,22.8,11734899234.0,Finance,Real Estate Investment Trusts,145.61403508771932
56.0,5.0,REXR,56.14,11734899234.0,Finance,Real Estate Investment Trusts,-0.24937655860349228
21.0,9.0,REVG,18.17,1081220964.1815202,Consumer Durables,Motor Vehicles,15.575123830489808
9.0,3.0,RES,7.51,1623875137.24124,Industrial Services,Oilfield Services/Equipment,19.840213049267646
28.2,9.0,RELY,18.735,3468930073.0487995,Commercial Services,Miscellaneous Commercial Services,50.52041633306646
937.5,8.0,REGN,845.62,92127748793.97331,Health Technology,Pharmaceuticals: Major,10.86540053451905
,,REGCP,24.25,12357381077.0,Finance,Real Estate Investment Trusts,
,,REGCO,22.93,12357381077.0,Finance,Real Estate Investment Trusts,
70.5,8.0,REG,67.0,12357381077.0,Finance,Real Estate Investment Trusts,5.223880597014926
68.29,9.0,RDY,67.585,11106370763.44502,Health Technology,Pharmaceuticals: Major,1.043130872234982
42.0,3.0,RDNT,35.195,2389554306.935277,Health Services,Medical/Nursing Services,19.335132831368092
29.0,7.0,RDN,28.75,4403359685.963835,Finance,Specialty Insurance,0.8695652173913043
6.94,7.0,RDFN,9.95,1146654349.8483262,Finance,Real Estate Development,-30.251256281407027
45.8,8.0,RCUS,17.87,1337668915.5094123,Health Technology,Biotechnology,156.2954672635702
17.31,6.0,RCM,10.57,4432087303.949716,Commercial Services,Miscellaneous Commercial Services,63.76537369914852
132.55,7.0,RCL,127.85,32759659191.45807,Consumer Services,Hotels/Resorts/Cruise lines,3.676183026984761
54.0,9.0,RCKT,29.5,2659687466.3925824,Health Technology,Biotechnology,83.05084745762711
56.86,9.0,RCI,46.79,24812559615.09076,Communications,Wireless Telecommunications,21.5216926693738
,,RCC,24.26,1883043755.0,Finance,Real Estate Investment Trusts,
,,RCB,24.06,1883043755.0,Finance,Real Estate Investment Trusts,
11.0,6.0,RC/PE,19.0,1883043755.0,Finance,Real Estate Investment Trusts,-42.10526315789474
11.0,6.0,RC/PC,18.5542,1883043755.0,Finance,Real Estate Investment Trusts,-40.71423181813283
11.0,6.0,RC,11.01,1883043755.0,Finance,Real Estate Investment Trusts,-0.09082652134423058
42.4,9.0,RBLX,44.93,28024492196.692223,Technology Services,Packaged Software,-5.630981526819499
,,RBCP,128.41,8105989068.0,Producer Manufacturing,Metal Fabrication,
272.4,4.0,RBC,279.13,8118495617.333477,Producer Manufacturing,Metal Fabrication,-2.4110629455809187
68.82,4.0,RBA,66.055,12043990242.019196,Technology Services,Internet Software/Services,4.185905684656705
94.45,7.0,RARE,47.19,3874976224.1666665,Health Technology,Pharmaceuticals: Major,100.1483365119729
43.0,7.0,RAMP,37.205,2437453232.7413006,Technology Services,Packaged Software,15.575863459212478
373.35,6.0,RACE,337.65,83261937204.113,Consumer Durables,Motor Vehicles,10.57307863171925
110.4,3.0,R,117.735,5218279099.282808,Finance,Finance/Rental/Leasing,-6.230093005478399
41.09,7.0,QTWO,43.215,2533911519.006242,Technology Services,Information Technology Services,-4.917274094643063
32.0,6.0,QTRX,27.98,1058476267.7835686,Health Technology,Medical Specialties,14.367405289492492
78.13,8.0,QSR,76.78,34765016059.42669,Consumer Services,Restaurants,1.7582703829122093
5.84,5.0,QS,7.17,3510153840.143052,Producer Manufacturing,Electrical Products,-18.549511854951184
102.62,6.0,QRVO,112.175,10919760149.281763,Electronic Technology,Semiconductors,-8.517940717628699
